Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Multiple-cell battery,Battery,BT1,Battery,KEY1027-ND,1,
2,Unpolarized capacitor,C,C3 C5 C8 C9 C15 C16 C20 C22 C80,0.1u,C_0402,9,
3,Unpolarized capacitor,C,C24 C30 C31 C33 C34 C38 C39 C41 C42 C46 C47 C49 C50 C54 C55 C57 C58 C62 C63 C65 C66 C70 C71 C73 C74,0.1uF,C_1812,25,
4,Unpolarized capacitor,C,C27 C28 C29 C32 C35 C36 C37 C40 C43 C44 C45 C48 C51 C52 C53 C56 C59 C60 C61 C64 C67 C68 C69 C72,0.1uF,C_1210,24,
5,Unpolarized capacitor,C,C75 C78 C79,0.1uF,R_0402,3,
6,"Polarized capacitor, US symbol",CP1,C23,100uF,Tantalum_Case-C_EIA-6032-28_Reflow,1,
7,Unpolarized capacitor,C,C12 C17,1nF,C_0402,2,
8,Unpolarized capacitor,C,C1 C76 C77,1u,R_0603,3,
9,Unpolarized capacitor,C,C2 C4 C6 C7 C10 C11 C21 C81,1u,C_0603,8,
10,Unpolarized capacitor,C,C18 C19,220pF,C_0402,2,
11,Unpolarized capacitor,C,C13,3.3nF,C_0402,1,
12,Unpolarized capacitor,C,C25,33pF,C_0402,1,
13,Unpolarized capacitor,C,C26,3nF,C_0402,1,
14,Unpolarized capacitor,C,C14,470pF,C_0402,1,
15,Light emitting diode,LED,D1 D2 D3,LED,LED_0805,3,
16,,MMBD3004S,D4 D5 D6 D7 D8 D9 D10 D11 D12 D13 D14 D15,MMBD3004S,SOT23,12,
17,,CONN_01X01-conn,GND1 P5 P6 P7 P17 P18 P23 P24 ST1 ST2 ST3 ST4 ST5 ST6 ST7 ST8 ST9 ST10 ST11 ST12,CONN_01X01,Pin_Header_Straight_1x01,20,
18,,HIROSE-DF12,J5,HIROSE-DF12,CheetahSocket,1,
19,Two-Piece EMI RF Shielding Cabinet,RF_SHIELD_TWO_PIECES,J4,RF_SHIELD_TWO_PIECES,BMI-S-230-F-R,1,
20,,SMA,J2,SMA,SMA-EDGE,1,
21,,UFL-CONN,J3,UFL-CONN,U.FL-R-SMT,1,
22,,USB-MICRO-B,J1,USB-MICRO-B,USB-uB-Molex-1050170001-V2,1,
23,,TEST_1P-conn,OUT1 W1,TEST_1P,Measurement_Point_Round-SMD-Pad_Small,2,
24,,CONN_01X02-conn,P1 P9 P10 P11 P12 P13 P15 P19,CONN_01X02,Pin_Header_Straight_SMT_02x01D,8,
25,,CONN_01X02-conn,P16 P22 P25,CONN_01X02,Pin_Header_Straight_1x02_Pitch2.54mm,3,
26,,CONN_01X02-conn,P8,CONN_01X02,Pin_Header_Straight_SMT_02x01V,1,
27,,CONN_01X03-conn,P14,CONN_01X03,Pin_Header_Straight_1x03_Pitch2.54mm,1,
28,,CONN_01X03-conn,P2 P3 P4,CONN_01X03,Pin_Header_Straight_1x03,3,
29,,CONN_01X03-conn,P21,CONN_01X03,Pin_Header_Straight_SMT_03x01STAGGERED,1,
30,,CONN_01X04-conn,P20,CONN_01X04,Pin_Header_Straight_SMT_04x01T,1,
31,,NMOS-DMG3420U,Q1,NMOS-DMG3420U,SOT23,1,
32,Resistor,R,R16 R17 R19 R20 R21 R22 R25 R26,0,R_1206,8,
33,Resistor,R,R52 R53,0,R_0805,2,
34,Resistor,R,R4 R5,10,R_0402,2,
35,Resistor,R,R48,10M,R_0402,1,
36,Resistor,R,R40 R41 R42 R49 R58 R59,10k,R_0402,6,
37,Resistor,R,R36,1G,R_2512,1,
38,Resistor,R,R6 R7 R8 R10 R11 R14 R15 R39 R56 R57,1M,R_0402,10,
39,Resistor,R,R18 R23 R24 R27 R28 R29 R30 R31 R32 R33 R34 R35,1M,R_0805,12,
40,Resistor,R,R1 R2,1k,R_0805,2,
41,Resistor,R,R3 R43 R44 R45 R51,1k,R_0402,5,
42,Resistor,R,R50,220k,R_0402,1,
43,Resistor,R,R37,2M,R_0805,1,
44,Resistor,R,R55,2M,R_0402,1,
45,Resistor,R,R9,33M,R_0402,1,
46,Resistor,R,R13 R38,4.7k,R_0402,2,
47,Resistor,R,R12,5.1,R_0603,1,
48,Resistor,R,R54,560k,R_0402,1,
49,,TEST_1P-conn,RST1,TEST_1P,Pin_Header_Straight_SMT_01x01,1,
50,,POT-RESCUE-HVTest,RV3,1M,EVM3Y-POT,1,
51,,POT-RESCUE-HVTest,RV1 RV2,20k,EVM3Y-POT,2,
52,,SPDT,S1,SPDT,PCM12SMTR,1,
53,,TRANSF1,TR1,TRANSF1,,1,
54,,FT230X,U2,FT230X,QFN-16-1EP_4x4mm_Pitch0.65mm,1,
55,,LTC2050,U12,LTC2050,TSOT-23-5,1,
56,,LTC2451,U13,LTC2451,DFN-8-1EP_2x3mm_Pitch0.5mm,1,
57,,MAX4704,U8 U9,MAX4704,QFN-12-1EP_3x3mm_Pitch0.5mm,2,
58,,MAX5531,U5,MAX5531,TQFN-12-1EP_4x4mm_Pitch0.8mmV2,1,
59,,MAX9634,U14,MAX9634,TSOT-23-5,1,
60,,MCP1700t-3302E_TT,U4,MCP1700t-3302E/TT,SOT23,1,
61,,MCP4651T,U10,MCP4651T,QFN-16-4x4,1,
62,,MCP4912,U6,MCP4912,TSSOP-14_4.4x5mm_Pitch0.65mm,1,
63,,MSP430G2XX3,U3,MSP430G2XX3,TSSOP-28_4.4x9.7mm_Pitch0.65mm,1,
64,,NUF2101MT1G,U1,NUF2101MT1G,TSOP-6,1,
65,,TLP293-4,U11,TLP293-4,SO-16-N,1,
66,,switch_ic4_5,U7,switch_ic4/5,test_socket,1,
67,,MI0805K400R-10,Z1 Z2,MI0805K400R-10,L0805,2,





Component Groups:,67
Component Count:,222
Fitted Components:,222
Number of PCBs:,1
Total components:,222
Schematic Version:,
Schematic Date:,
BoM Date:,2/6/2019 12:41:56 AM
Schematic Source:,C:\Users\User\Google Drive\IC Research\Clean HV Designs\HVPSU-Projects\HVTest\HVTest.sch
KiCad Version:,Eeschema (5.0.2)-1
